,Label (Grouping),Alabama!!Estimate,Alabama!!Margin of Error,Alabama!!Percent,Alabama!!Percent Margin of Error,Alaska!!Estimate,Alaska!!Margin of Error,Alaska!!Percent,Alaska!!Percent Margin of Error,Arizona!!Estimate,Arizona!!Margin of Error,Arizona!!Percent,Arizona!!Percent Margin of Error,Arkansas!!Estimate,Arkansas!!Margin of Error,Arkansas!!Percent,Arkansas!!Percent Margin of Error,California!!Estimate,California!!Margin of Error,California!!Percent,California!!Percent Margin of Error,Colorado!!Estimate,Colorado!!Margin of Error,Colorado!!Percent,Colorado!!Percent Margin of Error,Connecticut!!Estimate,Connecticut!!Margin of Error,Connecticut!!Percent,Connecticut!!Percent Margin of Error,Delaware!!Estimate,Delaware!!Margin of Error,Delaware!!Percent,Delaware!!Percent Margin of Error,District of Columbia!!Estimate,District of Columbia!!Margin of Error,District of Columbia!!Percent,District of Columbia!!Percent Margin of Error,Florida!!Estimate,Florida!!Margin of Error,Florida!!Percent,Florida!!Percent Margin of Error,Georgia!!Estimate,Georgia!!Margin of Error,Georgia!!Percent,Georgia!!Percent Margin of Error,Hawaii!!Estimate,Hawaii!!Margin of Error,Hawaii!!Percent,Hawaii!!Percent Margin of Error,Idaho!!Estimate,Idaho!!Margin of Error,Idaho!!Percent,Idaho!!Percent Margin of Error,Illinois!!Estimate,Illinois!!Margin of Error,Illinois!!Percent,Illinois!!Percent Margin of Error,Indiana!!Estimate,Indiana!!Margin of Error,Indiana!!Percent,Indiana!!Percent Margin of Error,Iowa!!Estimate,Iowa!!Margin of Error,Iowa!!Percent,Iowa!!Percent Margin of Error,Kansas!!Estimate,Kansas!!Margin of Error,Kansas!!Percent,Kansas!!Percent Margin of Error,Kentucky!!Estimate,Kentucky!!Margin of Error,Kentucky!!Percent,Kentucky!!Percent Margin of Error,Louisiana!!Estimate,Louisiana!!Margin of Error,Louisiana!!Percent,Louisiana!!Percent Margin of Error,Maine!!Estimate,Maine!!Margin of Error,Maine!!Percent,Maine!!Percent Margin of Error,Maryland!!Estimate,Maryland!!Margin of Error,Maryland!!Percent,Maryland!!Percent Margin of Error,Massachusetts!!Estimate,Massachusetts!!Margin of Error,Massachusetts!!Percent,Massachusetts!!Percent Margin of Error,Michigan!!Estimate,Michigan!!Margin of Error,Michigan!!Percent,Michigan!!Percent Margin of Error,Minnesota!!Estimate,Minnesota!!Margin of Error,Minnesota!!Percent,Minnesota!!Percent Margin of Error,Mississippi!!Estimate,Mississippi!!Margin of Error,Mississippi!!Percent,Mississippi!!Percent Margin of Error,Missouri!!Estimate,Missouri!!Margin of Error,Missouri!!Percent,Missouri!!Percent Margin of Error,Montana!!Estimate,Montana!!Margin of Error,Montana!!Percent,Montana!!Percent Margin of Error,Nebraska!!Estimate,Nebraska!!Margin of Error,Nebraska!!Percent,Nebraska!!Percent Margin of Error,Nevada!!Estimate,Nevada!!Margin of Error,Nevada!!Percent,Nevada!!Percent Margin of Error,New Hampshire!!Estimate,New Hampshire!!Margin of Error,New Hampshire!!Percent,New Hampshire!!Percent Margin of Error,New Jersey!!Estimate,New Jersey!!Margin of Error,New Jersey!!Percent,New Jersey!!Percent Margin of Error,New Mexico!!Estimate,New Mexico!!Margin of Error,New Mexico!!Percent,New Mexico!!Percent Margin of Error,New York!!Estimate,New York!!Margin of Error,New York!!Percent,New York!!Percent Margin of Error,North Carolina!!Estimate,North Carolina!!Margin of Error,North Carolina!!Percent,North Carolina!!Percent Margin of Error,North Dakota!!Estimate,North Dakota!!Margin of Error,North Dakota!!Percent,North Dakota!!Percent Margin of Error,Ohio!!Estimate,Ohio!!Margin of Error,Ohio!!Percent,Ohio!!Percent Margin of Error,Oklahoma!!Estimate,Oklahoma!!Margin of Error,Oklahoma!!Percent,Oklahoma!!Percent Margin of Error,Oregon!!Estimate,Oregon!!Margin of Error,Oregon!!Percent,Oregon!!Percent Margin of Error,Pennsylvania!!Estimate,Pennsylvania!!Margin of Error,Pennsylvania!!Percent,Pennsylvania!!Percent Margin of Error,Rhode Island!!Estimate,Rhode Island!!Margin of Error,Rhode Island!!Percent,Rhode Island!!Percent Margin of Error,South Carolina!!Estimate,South Carolina!!Margin of Error,South Carolina!!Percent,South Carolina!!Percent Margin of Error,South Dakota!!Estimate,South Dakota!!Margin of Error,South Dakota!!Percent,South Dakota!!Percent Margin of Error,Tennessee!!Estimate,Tennessee!!Margin of Error,Tennessee!!Percent,Tennessee!!Percent Margin of Error,Texas!!Estimate,Texas!!Margin of Error,Texas!!Percent,Texas!!Percent Margin of Error,Utah!!Estimate,Utah!!Margin of Error,Utah!!Percent,Utah!!Percent Margin of Error,Vermont!!Estimate,Vermont!!Margin of Error,Vermont!!Percent,Vermont!!Percent Margin of Error,Virginia!!Estimate,Virginia!!Margin of Error,Virginia!!Percent,Virginia!!Percent Margin of Error,Washington!!Estimate,Washington!!Margin of Error,Washington!!Percent,Washington!!Percent Margin of Error,West Virginia!!Estimate,West Virginia!!Margin of Error,West Virginia!!Percent,West Virginia!!Percent Margin of Error,Wisconsin!!Estimate,Wisconsin!!Margin of Error,Wisconsin!!Percent,Wisconsin!!Percent Margin of Error,Wyoming!!Estimate,Wyoming!!Margin of Error,Wyoming!!Percent,Wyoming!!Percent Margin of Error,Puerto Rico!!Estimate,Puerto Rico!!Margin of Error,Puerto Rico!!Percent,Puerto Rico!!Percent Margin of Error
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        35.0 percent or more,"131,980","±6,222",18.00%,±0.8,"23,636","±2,341",21.60%,±1.9,"238,367","±8,136",19.90%,±0.6,"71,243","±4,895",16.70%,±1.0,"1,499,162","±20,772",29.60%,±0.4,"231,474","±8,052",21.60%,±0.7,"139,973","±6,923",22.70%,±1.0,"36,716","±3,500",20.20%,±1.8,"20,332","±2,365",20.40%,±2.3,"838,649","±16,626",25.80%,±0.4,"317,779","±12,696",19.00%,±0.7,"66,241","±4,873",33.90%,±2.0,"61,516","±5,293",19.40%,±1.6,"410,312","±11,238",20.00%,±0.5,"175,879","±6,718",14.40%,±0.5,"80,490","±4,576",14.30%,±0.8,"72,838","±3,749",16.30%,±0.8,"119,711","±5,917",17.20%,±0.8,"134,177","±7,228",21.20%,±1.1,"50,452","±3,638",18.90%,±1.3,"219,317","±8,391",19.30%,±0.7,"275,150","±8,101",23.30%,±0.7,"303,199","±7,658",17.40%,±0.4,"175,622","±5,328",16.50%,±0.5,"77,624","±5,004",20.40%,±1.2,"161,698","±6,598",15.70%,±0.6,"33,748","±2,858",19.80%,±1.6,"48,797","±2,705",15.40%,±0.8,"113,341","±5,289",24.00%,±1.0,"48,718","±3,372",19.50%,±1.2,"368,810","±11,078",25.60%,±0.7,"67,929","±4,677",22.50%,±1.4,"642,435","±13,291",26.20%,±0.5,"311,495","±9,121",18.10%,±0.5,"16,183","±2,321",15.20%,±1.9,"306,811","±10,848",15.50%,±0.5,"98,654","±4,097",18.20%,±0.7,"162,775","±5,740",23.20%,±0.7,"364,371","±9,076",17.10%,±0.4,"44,185","±4,008",23.50%,±2.0,"164,932","±7,056",19.70%,±0.8,"22,119","±2,199",16.40%,±1.7,"197,625","±7,922",18.10%,±0.7,"836,438","±18,802",22.00%,±0.4,"93,789","±5,083",17.60%,±0.9,"24,894","±2,190",21.00%,±1.7,"281,870","±8,225",18.50%,±0.5,"273,940","±8,822",21.30%,±0.7,"38,799","±3,370",15.50%,±1.3,"168,375","±5,182",16.40%,±0.5,"18,605","±2,537",18.60%,±2.3,"89,182","±4,769",30.80%,±1.4
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        Not computed,"4,611","±1,307",(X),(X),941,±576,(X),(X),"7,161","±1,671",(X),(X),"1,331",±553,(X),(X),"32,877","±3,471",(X),(X),"5,283","±1,161",(X),(X),"3,139",±999,(X),(X),"1,209",±598,(X),(X),296,±224,(X),(X),"22,918","±2,893",(X),(X),"8,944","±1,960",(X),(X),"1,614",±701,(X),(X),"1,503",±803,(X),(X),"14,782","±2,901",(X),(X),"5,648","±1,332",(X),(X),"1,927",±796,(X),(X),"2,149",±883,(X),(X),"4,627","±1,061",(X),(X),"5,506","±1,725",(X),(X),"1,492",±744,(X),(X),"5,752","±1,410",(X),(X),"3,826","±1,058",(X),(X),"8,640","±1,659",(X),(X),"3,221",±761,(X),(X),"1,514",±667,(X),(X),"4,833","±1,259",(X),(X),697,±549,(X),(X),"1,897","±1,009",(X),(X),"4,105","±1,292",(X),(X),342,±243,(X),(X),"5,618","±1,371",(X),(X),"3,763","±1,580",(X),(X),"13,982","±2,303",(X),(X),"10,245","±1,836",(X),(X),463,±379,(X),(X),"7,462","±1,381",(X),(X),"2,862",±822,(X),(X),"2,972",±969,(X),(X),"8,954","±1,713",(X),(X),"1,204",±576,(X),(X),"4,186","±1,351",(X),(X),368,±340,(X),(X),"7,898","±1,545",(X),(X),"21,820","±3,719",(X),(X),"1,955","±1,077",(X),(X),242,±164,(X),(X),"8,071","±1,403",(X),(X),"6,872","±1,540",(X),(X),"1,230",±724,(X),(X),"4,002",±841,(X),(X),645,±437,(X),(X),"5,582","±1,274",(X),(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),    Housing unit without a mortgage (excluding units where SMOCAPI cannot be computed),"625,088","±11,384","625,088",(X),"70,033","±3,285","70,033",(X),"686,435","±10,384","686,435",(X),"358,697","±8,497","358,697",(X),"2,364,148","±23,662","2,364,148",(X),"463,142","±9,715","463,142",(X),"326,970","±7,934","326,970",(X),"102,574","±3,887","102,574",(X),"32,243","±2,599","32,243",(X),"2,452,735","±27,797","2,452,735",(X),"936,391","±14,316","936,391",(X),"107,707","±4,521","107,707",(X),"176,301","±5,216","176,301",(X),"1,288,686","±13,979","1,288,686",(X),"673,603","±13,762","673,603",(X),"368,947","±6,311","368,947",(X),"322,949","±6,848","322,949",(X),"517,542","±9,623","517,542",(X),"554,116","±11,059","554,116",(X),"173,575","±4,700","173,575",(X),"449,407","±7,778","449,407",(X),"552,317","±9,659","552,317",(X),"1,199,544","±12,009","1,199,544",(X),"589,576","±8,880","589,576",(X),"396,427","±9,382","396,427",(X),"652,606","±9,934","652,606",(X),"138,449","±4,389","138,449",(X),"212,487","±4,244","212,487",(X),"223,700","±6,177","223,700",(X),"145,706","±4,855","145,706",(X),"794,886","±12,262","794,886",(X),"268,312","±7,877","268,312",(X),"1,746,985","±17,828","1,746,985",(X),"1,045,903","±15,026","1,045,903",(X),"94,819","±4,371","94,819",(X),"1,238,666","±14,984","1,238,666",(X),"462,552","±7,948","462,552",(X),"374,921","±8,093","374,921",(X),"1,493,739","±14,069","1,493,739",(X),"88,171","±4,323","88,171",(X),"619,677","±11,848","619,677",(X),"110,739","±3,700","110,739",(X),"758,586","±12,621","758,586",(X),"2,889,971","±24,460","2,889,971",(X),"230,493","±7,088","230,493",(X),"76,664","±3,416","76,664",(X),"712,895","±10,889","712,895",(X),"635,952","±11,522","635,952",(X),"287,156","±6,076","287,156",(X),"634,349","±8,458","634,349",(X),"71,649","±3,549","71,649",(X),"483,483","±8,152","483,483",(X)
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        Less than 10.0 percent,"325,432","±7,852",52.10%,±1.0,"35,998","±2,335",51.40%,±2.7,"369,810","±8,464",53.90%,±1.0,"184,465","±7,417",51.40%,±1.4,"1,082,422","±15,415",45.80%,±0.5,"247,985","±6,878",53.50%,±1.1,"114,143","±4,946",34.90%,±1.2,"54,178","±3,271",52.80%,±2.6,"18,366","±2,245",57.00%,±4.9,"1,050,620","±16,606",42.80%,±0.6,"486,420","±10,175",51.90%,±0.8,"56,962","±3,062",52.90%,±2.3,"93,922","±4,628",53.30%,±2.0,"515,331","±10,592",40.00%,±0.7,"355,479","±9,270",52.80%,±0.9,"171,915","±5,090",46.60%,±1.1,"145,390","±5,511",45.00%,±1.4,"253,313","±7,997",48.90%,±1.2,"291,134","±9,316",52.50%,±1.1,"73,847","±3,262",42.50%,±1.4,"224,293","±6,133",49.90%,±1.2,"202,264","±6,196",36.60%,±1.1,"518,064","±8,649",43.20%,±0.6,"284,285","±6,643",48.20%,±0.9,"201,333","±8,393",50.80%,±1.5,"319,105","±7,998",48.90%,±1.0,"66,130","±3,369",47.80%,±1.9,"95,188","±3,974",44.80%,±1.5,"126,898","±5,127",56.70%,±1.6,"46,158","±3,422",31.70%,±1.9,"239,767","±8,504",30.20%,±1.0,"141,831","±6,133",52.90%,±1.6,"647,860","±14,730",37.10%,±0.6,"533,791","±11,760",51.00%,±0.8,"50,502","±3,514",53.30%,±2.6,"568,201","±10,287",45.90%,±0.7,"231,034","±6,611",49.90%,±1.1,"160,385","±5,604",42.80%,±1.4,"663,743","±11,534",44.40%,±0.6,"31,855","±2,902",36.10%,±2.7,"334,244","±9,612",53.90%,±1.1,"54,186","±2,929",48.90%,±2.0,"401,117","±10,860",52.90%,±1.1,"1,280,062","±21,290",44.30%,±0.6,"140,887","±5,337",61.10%,±1.6,"25,060","±2,285",32.70%,±2.4,"382,248","±8,852",53.60%,±0.9,"292,116","±8,312",45.90%,±1.0,"156,183","±5,190",54.40%,±1.5,"273,333","±6,691",43.10%,±0.9,"38,755","±3,143",54.10%,±3.0,"274,059","±7,647",56.70%,±1.2
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        10.0 to 14.9 percent,"113,442","±4,488",18.10%,±0.7,"11,878","±1,623",17.00%,±2.1,"119,718","±6,101",17.40%,±0.8,"69,025","±4,406",19.20%,±1.2,"415,745","±9,581",17.60%,±0.4,"78,871","±4,414",17.00%,±0.8,"64,144","±4,194",19.60%,±1.2,"17,860","±1,915",17.40%,±1.8,"4,682","±1,112",14.50%,±3.3,"470,569","±12,747",19.20%,±0.5,"169,941","±7,305",18.10%,±0.7,"16,304","±1,908",15.10%,±1.6,"32,223","±3,287",18.30%,±1.8,"264,521","±7,243",20.50%,±0.5,"125,524","±5,583",18.60%,±0.7,"76,799","±3,228",20.80%,±0.8,"68,528","±2,903",21.20%,±0.9,"99,470","±5,022",19.20%,±0.9,"93,370","±4,762",16.90%,±0.8,"35,623","±2,450",20.50%,±1.4,"85,059","±3,729",18.90%,±0.8,"110,332","±5,119",20.00%,±0.9,"241,051","±7,035",20.10%,±0.5,"119,901","±4,767",20.30%,±0.7,"63,930","±5,015",16.10%,±1.2,"128,221","±5,938",19.60%,±0.8,"26,104","±2,409",18.90%,±1.6,"43,628","±2,651",20.50%,±1.2,"34,360","±3,246",15.40%,±1.3,"33,334","±3,062",22.90%,±2.1,"158,765","±6,276",20.00%,±0.7,"45,013","±3,323",16.80%,±1.2,"333,494","±10,362",19.10%,±0.6,"189,947","±6,952",18.20%,±0.7,"17,530","±2,067",18.50%,±2.1,"257,711","±7,224",20.80%,±0.5,"89,326","±4,082",19.30%,±0.8,"72,604","±4,269",19.40%,±1.0,"294,530","±8,739",19.70%,±0.6,"18,033","±1,905",20.50%,±1.8,"107,426","±5,655",17.30%,±0.9,"20,989","±1,961",19.00%,±1.5,"140,350","±6,208",18.50%,±0.8,"583,662","±13,049",20.20%,±0.4,"37,476","±2,657",16.30%,±1.0,"16,863","±1,813",22.00%,±2.1,"129,963","±5,690",18.20%,±0.7,"126,890","±5,965",20.00%,±0.8,"48,032","±3,014",16.70%,±1.0,"133,249","±4,601",21.00%,±0.7,"12,090","±1,527",16.90%,±2.1,"83,408","±4,934",17.30%,±1.0
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        15.0 to 19.9 percent,"61,969","±4,003",9.90%,±0.6,"6,366","±1,179",9.10%,±1.7,"59,247","±4,695",8.60%,±0.6,"34,413","±2,693",9.60%,±0.7,"229,201","±8,702",9.70%,±0.3,"41,988","±3,176",9.10%,±0.6,"40,271","±3,318",12.30%,±1.0,"10,530","±1,881",10.30%,±1.7,"2,485",±901,7.70%,±2.7,"255,716","±9,262",10.40%,±0.4,"87,065","±5,272",9.30%,±0.6,"10,403","±1,690",9.70%,±1.4,"16,672","±1,693",9.50%,±0.9,"159,804","±6,652",12.40%,±0.5,"63,713","±3,832",9.50%,±0.6,"41,319","±2,475",11.20%,±0.6,"36,113","±2,764",11.20%,±0.8,"53,211","±3,622",10.30%,±0.7,"54,296","±3,805",9.80%,±0.6,"18,951","±1,992",10.90%,±1.1,"41,367","±2,956",9.20%,±0.6,"63,575","±4,412",11.50%,±0.7,"137,951","±4,891",11.50%,±0.4,"62,104","±3,245",10.50%,±0.5,"43,771","±3,394",11.00%,±0.8,"68,504","±4,222",10.50%,±0.6,"14,146","±2,000",10.20%,±1.4,"26,184","±1,724",12.30%,±0.8,"17,761","±2,034",7.90%,±0.9,"18,643","±2,196",12.80%,±1.4,"104,385","±6,087",13.10%,±0.7,"22,091","±2,453",8.20%,±0.9,"207,007","±7,069",11.80%,±0.4,"105,426","±5,342",10.10%,±0.5,"8,019","±1,199",8.50%,±1.2,"133,796","±5,539",10.80%,±0.4,"47,631","±2,626",10.30%,±0.6,"42,677","±3,067",11.40%,±0.8,"163,926","±5,688",11.00%,±0.4,"10,011","±1,409",11.40%,±1.5,"56,858","±3,815",9.20%,±0.6,"10,933","±1,508",9.90%,±1.4,"74,700","±4,462",9.80%,±0.5,"314,519","±9,216",10.90%,±0.3,"15,981","±1,724",6.90%,±0.7,"11,093","±1,412",14.50%,±1.7,"64,471","±3,469",9.00%,±0.5,"65,295","±4,141",10.30%,±0.6,"27,343","±2,362",9.50%,±0.8,"74,874","±3,520",11.80%,±0.5,"6,574","±1,211",9.20%,±1.6,"43,894","±3,360",9.10%,±0.7
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        20.0 to 24.9 percent,"37,514","±3,508",6.00%,±0.5,"3,261",±951,4.70%,±1.3,"34,621","±3,029",5.00%,±0.4,"17,982","±2,428",5.00%,±0.7,"145,707","±5,750",6.20%,±0.2,"25,288","±2,466",5.50%,±0.5,"25,271","±2,296",7.70%,±0.7,"5,435","±1,211",5.30%,±1.1,"1,601",±609,5.00%,±1.9,"163,435","±8,153",6.70%,±0.3,"55,136","±3,704",5.90%,±0.4,"5,238","±1,231",4.90%,±1.1,"9,018","±1,761",5.10%,±1.0,"97,069","±4,465",7.50%,±0.3,"36,874","±3,189",5.50%,±0.5,"23,821","±2,314",6.50%,±0.6,"22,054","±2,279",6.80%,±0.7,"28,411","±2,595",5.50%,±0.5,"27,101","±2,922",4.90%,±0.5,"12,728","±1,741",7.30%,±1.0,"24,855","±2,514",5.50%,±0.5,"43,874","±3,276",7.90%,±0.6,"85,792","±4,175",7.20%,±0.3,"35,765","±2,394",6.10%,±0.4,"26,135","±2,918",6.60%,±0.7,"36,613","±2,973",5.60%,±0.4,"9,199","±1,585",6.60%,±1.1,"14,270","±1,375",6.70%,±0.7,"10,626","±1,650",4.80%,±0.7,"13,958","±1,916",9.60%,±1.3,"68,566","±3,532",8.60%,±0.4,"15,359","±2,230",5.70%,±0.8,"123,794","±5,250",7.10%,±0.3,"59,227","±3,621",5.70%,±0.3,"5,058","±1,141",5.30%,±1.2,"78,076","±4,018",6.30%,±0.3,"27,827","±2,215",6.00%,±0.5,"24,369","±2,553",6.50%,±0.7,"101,782","±5,189",6.80%,±0.3,"7,417","±1,440",8.40%,±1.6,"33,088","±2,574",5.30%,±0.4,"6,884","±1,370",6.20%,±1.2,"43,200","±3,744",5.70%,±0.5,"193,296","±9,115",6.70%,±0.3,"9,554","±1,649",4.10%,±0.7,"6,099",±866,8.00%,±1.1,"37,798","±3,402",5.30%,±0.5,"39,651","±3,303",6.20%,±0.5,"15,117","±2,053",5.30%,±0.7,"44,568","±2,252",7.00%,±0.3,"3,421",±737,4.80%,±1.0,"23,417","±2,641",4.80%,±0.6
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        25.0 to 29.9 percent,"18,753","±2,636",3.00%,±0.4,"2,787",±733,4.00%,±1.0,"23,782","±2,651",3.50%,±0.4,"12,922","±1,885",3.60%,±0.5,"98,547","±5,047",4.20%,±0.2,"14,562","±2,072",3.10%,±0.4,"17,085","±2,303",5.20%,±0.7,"3,518","±1,079",3.40%,±1.0,741,±389,2.30%,±1.2,"107,366","±6,045",4.40%,±0.2,"30,587","±3,733",3.30%,±0.4,"3,307",±855,3.10%,±0.8,"5,154","±1,074",2.90%,±0.6,"57,659","±3,999",4.50%,±0.3,"24,947","±2,769",3.70%,±0.4,"11,599","±1,301",3.10%,±0.4,"13,799","±1,907",4.30%,±0.6,"20,321","±2,241",3.90%,±0.4,"19,427","±2,510",3.50%,±0.5,"7,268","±1,216",4.20%,±0.7,"14,646","±1,959",3.30%,±0.4,"25,037","±2,302",4.50%,±0.4,"50,346","±3,432",4.20%,±0.3,"19,613","±1,638",3.30%,±0.3,"13,613","±1,989",3.40%,±0.5,"25,195","±2,415",3.90%,±0.4,"5,040","±1,080",3.60%,±0.8,"8,793","±1,269",4.10%,±0.6,"9,182","±1,741",4.10%,±0.8,"7,480","±1,174",5.10%,±0.8,"43,898","±3,453",5.50%,±0.4,"10,323","±1,795",3.80%,±0.6,"90,076","±5,208",5.20%,±0.3,"38,320","±2,812",3.70%,±0.3,"2,908",±745,3.10%,±0.8,"50,441","±3,387",4.10%,±0.3,"17,743","±1,991",3.80%,±0.4,"15,214","±1,911",4.10%,±0.5,"66,286","±3,471",4.40%,±0.2,"4,757","±1,127",5.40%,±1.3,"19,317","±2,365",3.10%,±0.4,"4,459",±981,4.00%,±0.9,"25,574","±2,779",3.40%,±0.4,"127,156","±6,063",4.40%,±0.2,"6,239","±1,512",2.70%,±0.6,"4,071",±807,5.30%,±1.1,"24,775","±2,517",3.50%,±0.3,"28,994","±2,796",4.60%,±0.4,"9,968","±1,615",3.50%,±0.6,"27,669","±2,413",4.40%,±0.4,"2,072",±769,2.90%,±1.0,"13,838","±1,755",2.90%,±0.4
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        30.0 to 34.9 percent,"13,483","±2,173",2.20%,±0.3,"1,448",±674,2.10%,±0.9,"17,258","±2,256",2.50%,±0.3,"8,799","±1,668",2.50%,±0.5,"67,346","±4,379",2.80%,±0.2,"11,208","±1,653",2.40%,±0.4,"13,489","±1,941",4.10%,±0.6,"3,055","±1,112",3.00%,±1.1,823,±543,2.60%,±1.6,"71,029","±5,199",2.90%,±0.2,"21,182","±2,648",2.30%,±0.3,"2,316",±715,2.20%,±0.7,"3,725","±1,108",2.10%,±0.6,"37,078","±3,135",2.90%,±0.2,"15,834","±1,981",2.40%,±0.3,"10,050","±1,325",2.70%,±0.4,"8,317","±1,382",2.60%,±0.4,"12,216","±2,091",2.40%,±0.4,"15,195","±2,209",2.70%,±0.4,"5,444","±1,147",3.10%,±0.6,"9,779","±1,699",2.20%,±0.4,"20,632","±2,225",3.70%,±0.4,"36,418","±2,992",3.00%,±0.2,"14,312","±1,441",2.40%,±0.2,"9,741","±1,767",2.50%,±0.5,"16,397","±1,884",2.50%,±0.3,"4,140",±999,3.00%,±0.7,"5,734","±1,022",2.70%,±0.5,"4,374","±1,039",2.00%,±0.5,"7,068","±1,572",4.90%,±1.1,"33,666","±3,430",4.20%,±0.4,"5,444","±1,409",2.00%,±0.5,"60,976","±4,138",3.50%,±0.2,"24,024","±2,867",2.30%,±0.3,"2,737",±833,2.90%,±0.9,"35,255","±3,137",2.80%,±0.3,"10,668","±1,207",2.30%,±0.3,"10,683","±1,775",2.80%,±0.5,"43,298","±2,698",2.90%,±0.2,"4,021","±1,056",4.60%,±1.2,"14,105","±2,085",2.30%,±0.3,"3,067",±792,2.80%,±0.7,"16,646","±2,203",2.20%,±0.3,"84,601","±5,051",2.90%,±0.2,"4,058",±784,1.80%,±0.3,"2,765",±651,3.60%,±0.9,"16,217","±1,816",2.30%,±0.3,"15,601","±1,978",2.50%,±0.3,"6,731","±1,358",2.30%,±0.5,"18,516","±1,905",2.90%,±0.3,"2,026",±704,2.80%,±1.0,"9,665","±1,504",2.00%,±0.3
SELECTED MONTHLY OWNER COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME (SMOCAPI),        35.0 percent or more,"54,495","±4,485",8.70%,±0.7,"8,295","±1,546",11.80%,±2.1,"61,999","±3,926",9.00%,±0.6,"31,091","±2,771",8.70%,±0.7,"325,180","±10,172",13.80%,±0.4,"43,240","±2,876",9.30%,±0.6,"52,567","±3,668",16.10%,±1.1,"7,998","±1,481",7.80%,±1.5,"3,545",±997,11.00%,±3.0,"334,000","±11,746",13.60%,±0.4,"86,060","±5,874",9.20%,±0.6,"13,177","±2,092",12.20%,±1.8,"15,587","±2,415",8.80%,±1.3,"157,224","±5,528",12.20%,±0.4,"51,232","±3,614",7.60%,±0.5,"33,444","±2,490",9.10%,±0.7,"28,748","±2,341",8.90%,±0.7,"50,600","±3,568",9.80%,±0.7,"53,593","±4,195",9.70%,±0.8,"19,714","±1,915",11.40%,±1.1,"49,408","±3,796",11.00%,±0.8,"86,603","±4,495",15.70%,±0.7,"129,922","±4,887",10.80%,±0.4,"53,596","±3,002",9.10%,±0.5,"37,904","±3,664",9.60%,±0.9,"58,571","±3,964",9.00%,±0.6,"13,690","±1,639",9.90%,±1.2,"18,690","±1,522",8.80%,±0.7,"20,499","±2,519",9.20%,±1.1,"19,065","±2,290",13.10%,±1.5,"145,839","±6,449",18.30%,±0.8,"28,251","±2,799",10.50%,±1.0,"283,778","±8,313",16.20%,±0.5,"95,168","±4,910",9.10%,±0.4,"8,065","±1,513",8.50%,±1.5,"115,186","±4,715",9.30%,±0.4,"38,323","±2,892",8.30%,±0.6,"48,989","±3,835",13.10%,±0.9,"160,174","±6,781",10.70%,±0.4,"12,077","±1,709",13.70%,±1.9,"54,639","±3,660",8.80%,±0.6,"10,221","±1,325",9.20%,±1.2,"56,999","±4,077",7.50%,±0.5,"306,675","±10,022",10.60%,±0.3,"16,298","±2,135",7.10%,±0.9,"10,713","±1,488",14.00%,±1.8,"57,423","±4,133",8.10%,±0.6,"67,405","±4,145",10.60%,±0.6,"23,782","±2,699",8.30%,±0.9,"62,140","±3,107",9.80%,±0.5,"6,711","±1,225",9.40%,±1.6,"35,202","±2,869",7.30%,±0.6
